variable,group,value
"Gillan, Cheryl",DWP,1
"Gillan, Cheryl",Electoral Commission,3
"Gillan, Cheryl",FCO,1
"Gillan, Cheryl",Home Office,1
"Gillan, Cheryl",Minister for Women and Equalities,1
"Gillan, Cheryl",Ministry of Defence,2
"Gillan, Cheryl",Prime Minister,15
"Gillan, Cheryl",Wales Office,4
"Girvan, Paul",Cabinet Office,6
"Girvan, Paul",Northern Ireland Office,8
"Girvan, Paul",Prime Minister,2
"Glindon, Mary",BEIS,1
"Glindon, Mary",Cabinet Office,2
"Glindon, Mary",DDCMS,2
"Glindon, Mary",DEFRA,2
"Glindon, Mary",Department for Transport,2
"Glindon, Mary",Department of Health,4
"Glindon, Mary",DHSC,4
"Glindon, Mary",DIT,4
"Glindon, Mary",DWP,1
"Glindon, Mary",FCO,2
"Glindon, Mary",Home Office,4
"Glindon, Mary",MHCLG,4
"Glindon, Mary",Minister for Women and Equalities,6
"Glindon, Mary",Ministry of Defence,7
"Glindon, Mary",Ministry of Justice,8
"Glindon, Mary",Northern Ireland Office,2
"Glindon, Mary",Prime Minister,11
"Glindon, Mary",Treasury,7
"Glindon, Mary",Wales Office,2
"Goldsmith of Richmond Park, Lord",BEIS,2
"Goldsmith of Richmond Park, Lord",DEFRA,8
"Goldsmith of Richmond Park, Lord",Department for Transport,2
"Goldsmith of Richmond Park, Lord",DfID,4
"Goldsmith of Richmond Park, Lord",FCO,7
"Goldsmith of Richmond Park, Lord",Home Office,1
"Goldsmith of Richmond Park, Lord",Ministry of Justice,2
"Goldsmith of Richmond Park, Lord",Prime Minister,4
"Goldsmith of Richmond Park, Lord",Treasury,1
"Goodman, Helen",Attorney General,3
"Goodman, Helen",Cabinet Office,3
"Goodman, Helen",Church Commissioners,12
"Goodman, Helen",DDCMS,5
"Goodman, Helen",DEFRA,9
"Goodman, Helen",Department for Transport,6
"Goodman, Helen",DeXEU,4
"Goodman, Helen",DfE,5
"Goodman, Helen",DHSC,9
"Goodman, Helen",DIT,1
"Goodman, Helen",DWP,6
"Goodman, Helen",FCO,16
"Goodman, Helen",HM Household,1
"Goodman, Helen",Home Office,2
"Goodman, Helen",MHCLG,5
"Goodman, Helen",Minister for Women and Equalities,5
"Goodman, Helen",Ministry of Defence,6
"Goodman, Helen",Ministry of Justice,2
"Goodman, Helen",Prime Minister,3
"Goodman, Helen",Treasury,11
"Goodwill, Robert",BEIS,2
"Goodwill, Robert",Department for Transport,1
"Goodwill, Robert",DfE,4
"Goodwill, Robert",DHSC,2
"Goodwill, Robert",DIT,2
"Goodwill, Robert",DWP,3
"Goodwill, Robert",Home Office,4
"Goodwill, Robert",Ministry of Justice,2
"Goodwill, Robert",Prime Minister,5
"Grady, Patrick",Attorney General,6
"Grady, Patrick",BEIS,9
"Grady, Patrick",Cabinet Office,9
"Grady, Patrick",DDCMS,2
"Grady, Patrick",DEFRA,7
"Grady, Patrick",Department for Transport,10
"Grady, Patrick",Department of Health,2
"Grady, Patrick",DeXEU,18
"Grady, Patrick",DfE,4
"Grady, Patrick",DfID,13
"Grady, Patrick",DHSC,4
"Grady, Patrick",DIT,6
"Grady, Patrick",DWP,9
"Grady, Patrick",FCO,15
"Grady, Patrick",Home Office,6
"Grady, Patrick",House of Commons Commission,10
"Grady, Patrick",MHCLG,4
"Grady, Patrick",Minister for Women and Equalities,8
"Grady, Patrick",Ministry of Defence,5
"Grady, Patrick",Ministry of Justice,6
"Grady, Patrick",Northern Ireland Office,6
"Grady, Patrick",Prime Minister,8
"Grady, Patrick",Scotland Office,16
"Grady, Patrick",Treasury,10
"Grady, Patrick",Wales Office,7
"Graham, Luke",BEIS,5
"Graham, Luke",Cabinet Office,4
"Graham, Luke",DDCMS,3
"Graham, Luke",DEFRA,12
"Graham, Luke",Department for Transport,10
"Graham, Luke",DeXEU,5
"Graham, Luke",DfE,8
"Graham, Luke",DHSC,5
"Graham, Luke",DIT,5
"Graham, Luke",DWP,8
"Graham, Luke",MHCLG,4
"Graham, Luke",Minister for Women and Equalities,1
"Graham, Luke",Ministry of Defence,2
"Graham, Luke",Northern Ireland Office,1
"Graham, Luke",Prime Minister,7
"Graham, Luke",Scotland Office,14
"Graham, Luke",Treasury,8
"Graham, Luke",Wales Office,2
"Graham, Richard",BEIS,8
"Graham, Richard",DDCMS,2
"Graham, Richard",DEFRA,1
"Graham, Richard",Department for Transport,2
"Graham, Richard",Department of Health,3
"Graham, Richard",DeXEU,3
"Graham, Richard",DfE,4
"Graham, Richard",DfID,2
"Graham, Richard",DHSC,4
"Graham, Richard",DIT,2
"Graham, Richard",DWP,7
"Graham, Richard",FCO,12
"Graham, Richard",MHCLG,4
"Graham, Richard",Minister for Women and Equalities,2
"Graham, Richard",Ministry of Defence,8
"Graham, Richard",Ministry of Justice,5
"Graham, Richard",Prime Minister,12
"Grant, Bill",BEIS,9
"Grant, Bill",Cabinet Office,6
"Grant, Bill",DDCMS,2
"Grant, Bill",DEFRA,1
"Grant, Bill",Department for Transport,1
"Grant, Bill",DWP,6
"Grant, Bill",Home Office,3
"Grant, Bill",MHCLG,3
"Grant, Bill",Ministry of Defence,6
"Grant, Bill",Prime Minister,8
"Grant, Bill",Scotland Office,7
"Grant, Bill",Treasury,4
"Grant, Helen",FCO,1
"Grant, Helen",Minister for Women and Equalities,1
"Grant, Helen",Prime Minister,4
"Grant, Peter",Attorney General,3
"Grant, Peter",BEIS,2
"Grant, Peter",Cabinet Office,2
"Grant, Peter",DEFRA,2
"Grant, Peter",Department for Transport,2
"Grant, Peter",DeXEU,32
"Grant, Peter",DfE,6
"Grant, Peter",DHSC,4
"Grant, Peter",DIT,3
"Grant, Peter",DWP,7
"Grant, Peter",Electoral Commission,2
"Grant, Peter",FCO,10
"Grant, Peter",Home Office,3
"Grant, Peter",House of Commons Commission,2
"Grant, Peter",Minister for Women and Equalities,2
"Grant, Peter",Ministry of Defence,1
"Grant, Peter",Northern Ireland Office,8
"Grant, Peter",Prime Minister,8
"Grant, Peter",Scotland Office,9
"Grant, Peter",Treasury,1
"Grant, Peter",Wales Office,4
"Gray, James",Cabinet Office,3
"Gray, James",DfE,2
"Gray, James",DfID,4
"Gray, James",DHSC,1
"Gray, James",DWP,1
"Gray, James",FCO,4
"Gray, James",Home Office,8
"Gray, James",MHCLG,4
"Gray, James",Ministry of Defence,18
"Gray, James",Ministry of Justice,1
"Gray, James",Prime Minister,5
"Gray, James",Treasury,1
"Gray, James",Wales Office,3
"Gray, Neil",BEIS,7
"Gray, Neil",Cabinet Office,4
"Gray, Neil",DEFRA,2
"Gray, Neil",Department for Transport,8
"Gray, Neil",DeXEU,4
"Gray, Neil",DfE,2
"Gray, Neil",DfID,6
"Gray, Neil",DHSC,4
"Gray, Neil",DIT,1
"Gray, Neil",DWP,24
"Gray, Neil",FCO,5
"Gray, Neil",Home Office,2
"Gray, Neil",Minister for Women and Equalities,1
"Gray, Neil",Ministry of Justice,2
"Gray, Neil",Prime Minister,5
"Gray, Neil",Scotland Office,4
"Gray, Neil",Treasury,8
"Gray, Neil",Wales Office,2
"Green, Chris",Attorney General,4
"Green, Chris",BEIS,4
"Green, Chris",Cabinet Office,5
"Green, Chris",DDCMS,3
"Green, Chris",DEFRA,3
"Green, Chris",Department for Transport,2
"Green, Chris",DeXEU,4
"Green, Chris",DfE,2
"Green, Chris",DfID,2
"Green, Chris",DHSC,1
"Green, Chris",DIT,2
"Green, Chris",DWP,5
"Green, Chris",FCO,4
"Green, Chris",Home Office,2
"Green, Chris",MHCLG,1
"Green, Chris",Ministry of Defence,4
"Green, Chris",Ministry of Justice,3
"Green, Chris",Northern Ireland Office,4
"Green, Chris",Prime Minister,10
"Green, Chris",Scotland Office,2
"Green, Chris",Treasury,8
"Green, Damian",Department for Transport,2
"Green, Damian",DeXEU,1
"Green, Damian",DfE,4
"Green, Damian",DHSC,1
"Green, Damian",Prime Minister,3
"Green, Damian",Treasury,2
"Green, Kate",Attorney General,3
"Green, Kate",Cabinet Office,2
"Green, Kate",DCLG,1
"Green, Kate",DCMS,4
"Green, Kate",DEFRA,3
"Green, Kate",Department for Transport,5
"Green, Kate",Department of Health,1
"Green, Kate",DeXEU,7
"Green, Kate",DfE,4
"Green, Kate",DfID,7
"Green, Kate",DHSC,8
"Green, Kate",DIT,2
"Green, Kate",DWP,11
"Green, Kate",Home Office,11
"Green, Kate",MHCLG,7
"Green, Kate",Minister for Women and Equalities,2
"Green, Kate",Ministry of Justice,13
"Green, Kate",Treasury,3
"Green, Kate",Wales Office,1
"Greening, Justine",DEFRA,1
"Greening, Justine",Department for Transport,8
"Greening, Justine",DfE,3
"Greening, Justine",Minister for Women and Equalities,1
"Greening, Justine",Ministry of Justice,1
"Greening, Justine",Prime Minister,5
"Greening, Justine",Treasury,5
"Greenwood, Lilian",BEIS,2
"Greenwood, Lilian",Cabinet Office,2
"Greenwood, Lilian",DCLG,4
"Greenwood, Lilian",DCMS,2
"Greenwood, Lilian",DDCMS,3
"Greenwood, Lilian",DEFRA,4
"Greenwood, Lilian",Department for Transport,15
"Greenwood, Lilian",DeXEU,4
"Greenwood, Lilian",DfE,8
"Greenwood, Lilian",DHSC,4
"Greenwood, Lilian",DWP,8
"Greenwood, Lilian",FCO,4
"Greenwood, Lilian",Home Office,3
"Greenwood, Lilian",MHCLG,5
"Greenwood, Lilian",Minister for Women and Equalities,2
"Greenwood, Lilian",Prime Minister,10
"Greenwood, Lilian",Treasury,4
"Greenwood, Margaret",Department for Transport,2
"Greenwood, Margaret",DfE,1
"Greenwood, Margaret",DWP,28
"Greenwood, Margaret",Prime Minister,2
"Greenwood, Margaret",Treasury,1
"Greenwood, Margaret",Wales Office,2
"Grieve, Dominic",Ministry of Justice,1
"Grieve, Dominic",Prime Minister,1
"Grieve, Dominic",Treasury,1
"Grieve, Dominic",Wales Office,1
"Griffith, Nia",Ministry of Defence,47
"Griffiths, Andrew",BEIS,4
"Griffiths, Andrew",Church Commissioners,3
"Griffiths, Andrew",DEFRA,5
"Griffiths, Andrew",Department for Transport,2
"Griffiths, Andrew",DHSC,1
"Griffiths, Andrew",Ministry of Justice,4
"Griffiths, Andrew",Prime Minister,4
"Grogan, John",BEIS,6
"Grogan, John",Cabinet Office,4
"Grogan, John",Church Commissioners,8
"Grogan, John",DCLG,1
"Grogan, John",DDCMS,8
"Grogan, John",DEFRA,10
"Grogan, John",Department for Transport,6
"Grogan, John",Department of Health,2
"Grogan, John",DfE,2
"Grogan, John",DHSC,4
"Grogan, John",DIT,2
"Grogan, John",DWP,2
"Grogan, John",FCO,2
"Grogan, John",MHCLG,5
"Grogan, John",Ministry of Defence,6
"Grogan, John",Prime Minister,6
"Grogan, John",Treasury,5
"Gwynne, Andrew",DCLG,2
"Gwynne, Andrew",MHCLG,17
"Haigh, Louise",Attorney General,2
"Haigh, Louise",BEIS,4
"Haigh, Louise",DCMS,2
"Haigh, Louise",DDCMS,4
"Haigh, Louise",Department for Transport,3
"Haigh, Louise",DeXEU,2
"Haigh, Louise",DfE,3
"Haigh, Louise",DHSC,2
"Haigh, Louise",DWP,3
"Haigh, Louise",Home Office,13
"Haigh, Louise",MHCLG,2
"Haigh, Louise",Minister for Women and Equalities,1
"Haigh, Louise",Ministry of Defence,2
"Haigh, Louise",Ministry of Justice,6
"Haigh, Louise",Prime Minister,10
"Haigh, Louise",Public Accounts Commission,2
"Hair, Kirstene",BEIS,10
"Hair, Kirstene",Cabinet Office,2
"Hair, Kirstene",DDCMS,5
"Hair, Kirstene",DEFRA,4
"Hair, Kirstene",Department for Transport,3
"Hair, Kirstene",DeXEU,1
"Hair, Kirstene",DfE,1
"Hair, Kirstene",DfID,3
"Hair, Kirstene",DHSC,9
"Hair, Kirstene",DWP,4
"Hair, Kirstene",Home Office,7
"Hair, Kirstene",Minister for Women and Equalities,6
"Hair, Kirstene",Ministry of Defence,8
"Hair, Kirstene",Ministry of Justice,1
"Hair, Kirstene",Northern Ireland Office,3
"Hair, Kirstene",Prime Minister,9
"Hair, Kirstene",Scotland Office,6
"Hair, Kirstene",Treasury,8
"Halfon, Robert",Attorney General,2
"Halfon, Robert",BEIS,4
"Halfon, Robert",Cabinet Office,2
"Halfon, Robert",DCLG,1
"Halfon, Robert",DCMS,2
"Halfon, Robert",DDCMS,2
"Halfon, Robert",DEFRA,1
"Halfon, Robert",Department for Transport,6
"Halfon, Robert",DfE,14
"Halfon, Robert",DfID,4
"Halfon, Robert",DHSC,9
"Halfon, Robert",DWP,5
"Halfon, Robert",FCO,8
"Halfon, Robert",Home Office,6
"Halfon, Robert",House of Commons Commission,2
"Halfon, Robert",MHCLG,6
"Halfon, Robert",Minister for Women and Equalities,7
"Halfon, Robert",Ministry of Justice,10
"Halfon, Robert",Northern Ireland Office,2
"Halfon, Robert",Prime Minister,18
"Halfon, Robert",Scotland Office,4
"Halfon, Robert",Treasury,7
"Halfon, Robert",Wales Office,8
"Hall, Luke",BEIS,4
"Hall, Luke",Cabinet Office,2
"Hall, Luke",Church Commissioners,2
"Hall, Luke",DCMS,1
"Hall, Luke",DDCMS,8
"Hall, Luke",DEFRA,8
"Hall, Luke",Department for Transport,6
"Hall, Luke",DeXEU,4
"Hall, Luke",DfE,2
"Hall, Luke",DfID,10
"Hall, Luke",DHSC,7
"Hall, Luke",DIT,2
"Hall, Luke",DWP,3
"Hall, Luke",FCO,4
"Hall, Luke",Home Office,2
"Hall, Luke",MHCLG,4
"Hall, Luke",Minister for Women and Equalities,4
"Hall, Luke",Ministry of Defence,4
"Hall, Luke",Ministry of Justice,7
"Hall, Luke",Northern Ireland Office,3
"Hall, Luke",Prime Minister,4
"Hall, Luke",Treasury,4
"Hamilton, Fabian",FCO,15
"Hamilton, Fabian",Ministry of Defence,13
"Hammond, Stephen",BEIS,6
"Hammond, Stephen",Department for Transport,10
"Hammond, Stephen",DeXEU,4
"Hammond, Stephen",DfE,8
"Hammond, Stephen",DfID,2
"Hammond, Stephen",DIT,2
"Hammond, Stephen",FCO,2
"Hammond, Stephen",Home Office,2
"Hammond, Stephen",Ministry of Defence,4
"Hammond, Stephen",Ministry of Justice,2
"Hammond, Stephen",Prime Minister,4
"Hammond, Stephen",Treasury,5
"Hands, Greg",Cabinet Office,4
"Hands, Greg",Church Commissioners,2
"Hands, Greg",DEFRA,1
"Hands, Greg",Department for Transport,2
"Hands, Greg",DeXEU,1
"Hands, Greg",DfE,3
"Hands, Greg",DfID,2
"Hands, Greg",DHSC,6
"Hands, Greg",DIT,3
"Hands, Greg",DWP,4
"Hands, Greg",FCO,7
"Hands, Greg",Home Office,2
"Hands, Greg",MHCLG,2
"Hands, Greg",Ministry of Defence,2
"Hands, Greg",Northern Ireland Office,2
"Hands, Greg",Prime Minister,2
"Hands, Greg",Treasury,5
"Hands, Greg",Wales Office,4
"Hanson, David",Attorney General,2
"Hanson, David",BEIS,8
"Hanson, David",Cabinet Office,5
"Hanson, David",Church Commissioners,2
"Hanson, David",DDCMS,8
"Hanson, David",DEFRA,3
"Hanson, David",Department for Transport,5
"Hanson, David",DeXEU,4
"Hanson, David",DfE,6
"Hanson, David",DfID,8
"Hanson, David",DIT,4
"Hanson, David",DWP,11
"Hanson, David",FCO,4
"Hanson, David",Home Office,13
"Hanson, David",MHCLG,6
"Hanson, David",Minister for Women and Equalities,2
"Hanson, David",Ministry of Defence,11
"Hanson, David",Ministry of Justice,25
"Hanson, David",Northern Ireland Office,13
"Hanson, David",Scotland Office,4
"Hanson, David",Treasury,9
"Hanson, David",Wales Office,4
"Hardy, Emma",BEIS,4
"Hardy, Emma",Cabinet Office,1
"Hardy, Emma",Department for Transport,3
"Hardy, Emma",DfE,11
"Hardy, Emma",DHSC,6
"Hardy, Emma",DWP,7
"Hardy, Emma",Home Office,5
"Hardy, Emma",MHCLG,9
"Hardy, Emma",Minister for Women and Equalities,3
"Hardy, Emma",Ministry of Defence,8
"Hardy, Emma",Ministry of Justice,6
"Hardy, Emma",Prime Minister,3
"Hardy, Emma",Treasury,5
"Hardy, Emma",Wales Office,5
"Harman, Harriet",DCLG,1
"Harman, Harriet",DHSC,1
"Harman, Harriet",Prime Minister,2
"Harper, Mark",DDCMS,1
"Harper, Mark",Department for Transport,1
"Harper, Mark",DHSC,2
"Harper, Mark",Northern Ireland Office,4
"Harper, Mark",Prime Minister,13
"Harper, Mark",Treasury,2
"Harper, Mark",Wales Office,3
"Harrington, Richard",BEIS,2
"Harrington, Richard",DfE,2
"Harrington, Richard",Wales Office,1
"Harris, Carolyn",BEIS,4
"Harris, Carolyn",DDCMS,6
"Harris, Carolyn",DWP,4
"Harris, Carolyn",Home Office,12
"Harris, Carolyn",Minister for Women and Equalities,16
"Harris, Carolyn",Ministry of Defence,5
"Harris, Carolyn",Ministry of Justice,2
"Harris, Carolyn",Northern Ireland Office,1
"Harris, Carolyn",Prime Minister,2
"Harris, Carolyn",Wales Office,5
"Harrison, Trudy",BEIS,8
"Harrison, Trudy",Cabinet Office,2
"Harrison, Trudy",DDCMS,2
"Harrison, Trudy",DEFRA,4
"Harrison, Trudy",Department for Transport,2
"Harrison, Trudy",DeXEU,2
"Harrison, Trudy",DfE,4
"Harrison, Trudy",DfID,4
"Harrison, Trudy",DHSC,2
"Harrison, Trudy",DIT,2
"Harrison, Trudy",DWP,2
"Harrison, Trudy",Home Office,2
"Harrison, Trudy",MHCLG,4
"Harrison, Trudy",Minister for Women and Equalities,2
"Harrison, Trudy",Prime Minister,8
"Harrison, Trudy",Treasury,7
"Hart, Simon",DEFRA,2
"Hayes, Helen",BEIS,6
"Hayes, Helen",Cabinet Office,2
"Hayes, Helen",DEFRA,4
"Hayes, Helen",DeXEU,2
"Hayes, Helen",DfE,2
"Hayes, Helen",DfID,2
"Hayes, Helen",DHSC,2
"Hayes, Helen",DWP,12
"Hayes, Helen",FCO,2
"Hayes, Helen",Home Office,13
"Hayes, Helen",MHCLG,12
"Hayes, Helen",Minister for Women and Equalities,4
"Hayes, Helen",Ministry of Justice,4
"Hayes, Helen",Prime Minister,6
"Hayes, Helen",Treasury,3
"Hayes, John",DDCMS,3
"Hayes, John",DEFRA,2
"Hayes, John",Department for Transport,2
"Hayes, John",DeXEU,1
"Hayes, John",DfE,2
"Hayes, John",DIT,4
"Hayes, John",Ministry of Defence,1
"Hayes, John",Prime Minister,5
"Hayman, Sue",DEFRA,27
"Heald, Oliver",Cabinet Office,4
"Heald, Oliver",DEFRA,2
"Heald, Oliver",DfID,2
"Heald, Oliver",DHSC,2
"Heald, Oliver",DWP,2
"Heald, Oliver",FCO,1
"Heald, Oliver",Home Office,3
"Heald, Oliver",Ministry of Justice,3
"Heald, Oliver",Northern Ireland Office,1
"Heald, Oliver",Prime Minister,8
"Heald, Oliver",Treasury,3
"Heald, Oliver",Wales Office,1
"Healey, John",DCLG,3
"Healey, John",MHCLG,26
"Heappey, James",BEIS,3
"Heappey, James",Department of Health,1
"Heappey, James",DfE,2
"Heappey, James",DHSC,3
"Heappey, James",DWP,2
"Heappey, James",Home Office,3
"Heappey, James",MHCLG,3
"Heappey, James",Ministry of Defence,5
"Heappey, James",Ministry of Justice,2
"Heappey, James",Prime Minister,5
"Heappey, James",Treasury,1
"Heaton-Harris, Chris",Electoral Commission,1
"Heaton-Harris, Chris",Home Office,2
"Heaton-Harris, Chris",Treasury,2
"Heaton-Jones, Peter",BEIS,11
"Heaton-Jones, Peter",Cabinet Office,2
"Heaton-Jones, Peter",DDCMS,6
"Heaton-Jones, Peter",DEFRA,2
"Heaton-Jones, Peter",Department for Transport,2
"Heaton-Jones, Peter",Department of Health,1
"Heaton-Jones, Peter",DeXEU,2
"Heaton-Jones, Peter",DfE,3
"Heaton-Jones, Peter",DfID,2
"Heaton-Jones, Peter",DHSC,3
"Heaton-Jones, Peter",DIT,2
"Heaton-Jones, Peter",DWP,3
"Heaton-Jones, Peter",FCO,8
"Heaton-Jones, Peter",Minister for Women and Equalities,2
"Heaton-Jones, Peter",Ministry of Defence,8
"Heaton-Jones, Peter",Prime Minister,2
"Heaton-Jones, Peter",Treasury,2
"Heaton-Jones, Peter",Wales Office,1
"Henderson, Gordon",BEIS,2
"Henderson, Gordon",DfE,3
"Henderson, Gordon",DHSC,4
"Henderson, Gordon",DWP,2
"Henderson, Gordon",Home Office,2
"Henderson, Gordon",MHCLG,2
"Henderson, Gordon",Ministry of Defence,2
"Henderson, Gordon",Ministry of Justice,6
"Henderson, Gordon",Prime Minister,5
"Henderson, Gordon",Treasury,2
"Hendrick, Mark",Cabinet Office,2
"Hendrick, Mark",Prime Minister,8
"Hendry, Drew",Attorney General,2
"Hendry, Drew",BEIS,34
"Hendry, Drew",DDCMS,2
"Hendry, Drew",Department for Transport,1
"Hendry, Drew",DfE,4
"Hendry, Drew",DWP,7
"Hendry, Drew",FCO,4
"Hendry, Drew",House of Commons Commission,2
"Hendry, Drew",Ministry of Defence,3
"Hendry, Drew",Ministry of Justice,4
"Hendry, Drew",Northern Ireland Office,2
"Hendry, Drew",Prime Minister,16
"Hendry, Drew",Scotland Office,14
"Hendry, Drew",Treasury,4
"Hendry, Drew",Wales Office,4
"Hepburn, Stephen",BEIS,2
"Hepburn, Stephen",Cabinet Office,2
"Hepburn, Stephen",DDCMS,4
"Hepburn, Stephen",DEFRA,2
"Hepburn, Stephen",Department for Transport,12
"Hepburn, Stephen",DeXEU,1
"Hepburn, Stephen",DfE,2
"Hepburn, Stephen",DHSC,4
"Hepburn, Stephen",DIT,6
"Hepburn, Stephen",DWP,4
"Hepburn, Stephen",FCO,4
"Hepburn, Stephen",Home Office,3
"Hepburn, Stephen",MHCLG,7
"Hepburn, Stephen",Ministry of Defence,6
"Hepburn, Stephen",Ministry of Justice,7
"Hepburn, Stephen",Prime Minister,10
"Herbert, Nick",DfID,1
"Herbert, Nick",FCO,3
"Herbert, Nick",Minister for Women and Equalities,1
"Hermon, Lady",Northern Ireland Office,15
"Hill, Mike",Cabinet Office,2
"Hill, Mike",DfE,2
"Hill, Mike",DHSC,2
"Hill, Mike",DWP,1
"Hill, Mike",Ministry of Defence,1
"Hill, Mike",Prime Minister,4
"Hillier, Meg",BEIS,1
"Hillier, Meg",Cabinet Office,1
"Hillier, Meg",Church Commissioners,2
"Hillier, Meg",DCLG,1
"Hillier, Meg",DDCMS,3
"Hillier, Meg",DEFRA,1
"Hillier, Meg",Department for Transport,3
"Hillier, Meg",DeXEU,3
"Hillier, Meg",DfE,5
"Hillier, Meg",DWP,1
"Hillier, Meg",Home Office,1
"Hillier, Meg",House of Commons Commission,2
"Hillier, Meg",MHCLG,1
"Hillier, Meg",Ministry of Defence,1
"Hillier, Meg",Ministry of Justice,2
"Hillier, Meg",Prime Minister,4
"Hillier, Meg",Treasury,6
"Hinds, Damian",DDCMS,1
"Hinds, Damian",Ministry of Justice,2
"Hoare, Simon",Attorney General,5
"Hoare, Simon",Cabinet Office,4
"Hoare, Simon",DCLG,2
"Hoare, Simon",DDCMS,1
"Hoare, Simon",DEFRA,4
"Hoare, Simon",Department for Transport,5
"Hoare, Simon",DfID,2
"Hoare, Simon",DHSC,1
"Hoare, Simon",DWP,2
"Hoare, Simon",Home Office,1
"Hoare, Simon",Minister for Women and Equalities,2
"Hoare, Simon",Ministry of Defence,1
"Hoare, Simon",Ministry of Justice,3
"Hoare, Simon",Northern Ireland Office,3
"Hoare, Simon",Prime Minister,23
"Hoare, Simon",Wales Office,1
"Hobhouse, Wera",BEIS,8
"Hobhouse, Wera",DCLG,3
"Hobhouse, Wera",DEFRA,4
"Hobhouse, Wera",Department for Transport,4
"Hobhouse, Wera",DeXEU,8
"Hobhouse, Wera",DfE,14
"Hobhouse, Wera",DHSC,2
"Hobhouse, Wera",DIT,2
"Hobhouse, Wera",DWP,2
"Hobhouse, Wera",FCO,1
"Hobhouse, Wera",Home Office,4
"Hobhouse, Wera",MHCLG,11
"Hobhouse, Wera",Minister for Women and Equalities,13
"Hobhouse, Wera",Ministry of Defence,2
"Hobhouse, Wera",Ministry of Justice,8
"Hobhouse, Wera",Northern Ireland Office,2
"Hobhouse, Wera",Prime Minister,2
